//withoutError
117363378,0,23,20,0,2081,18,12,7,5,4,6,39023,832,7393,0,,8571,00:02:19,5
117363378,0,69,6,1,1963,19,18,0,18,2,11,11650,17597,56141,0,,8518,00:01:16,1
117363378,0,11,20,1,2374,19,21,14,7,3,7,36799,37609,,9956,,10786,00:01:30,2
117363378,0,29,8,0,2221,18,12,4,8,6,6,37730,47552,,810,,9019,00:03:13,1
117363378,0,58,9,0,1815,18,12,2,10,4,6,52116,28617,,0,,7807,00:02:20,0
117363378,0,49,10,0,1965,18,9,1,8,8,2,30499,50310,,7007,,7220,00:04:24,1
117363378,0,67,5,1,1869,19,18,3,15,5,5,26558,30293,,1532,62829,6714,00:01:59,0
117363378,0,69,5,0,1996,18,10,0,10,4,3,27551,20567,31765,0,,6197,00:02:30,1
117363378,0,65,7,1,1485,19,20,6,14,1,15,40408,39656,,1808,,8424,00:00:40,1
117363378,0,63,4,1,2326,19,18,3,15,4,6,21579,17631,50608,0,,7998,00:02:25,1
//withError
117526057,0,54,8,0,1952,18,9,2,7,5,5,24407,103685,,10096,,9541,00:02:38,0
117526057,0,68,4,0,2443,20,16,6,10,5,8,30749,32328,17740,0,,11460,00:02:36,6
117526057,0,23,4,0,1621,18,11,2,9,4,5,26715,27875,,0,,8702,00:02:07,1
117526057,0,17,3,1,3027,20,21,5,16,3,14,21371,29341,,14582,37938,9986,00:01:15,4
117526057,0,13,2,0,2555,18,9,2,7,7,3,19842,15775,666,8898,43305,5002,00:03:31,0
117526057,0,26,6,0,2782,18,7,3,4,6,3,23185,56764,,2745,,8606,00:03:21,2
117526057,0,51,2,0,2972,18,9,4,5,4,4,27127,51880,,0,,9595,00:02:12,2
117526057,0,12,4,1,2685,20,19,9,10,2,13,28318,22940,,0,,8914,00:00:59,2
117526057,0,27,1,1,2857,20,22,6,16,2,15,18443,23589,,18707,36526,10116,00:01:40,6
117526057,0,29,4,1,2827,20,5,0,5,1,4,7676,92640,,0,,15623,00:00:44,8
//dataDuplicate
117526057,0,29,4,1,2827,20,5,0,5,1,4,7676,92640,,0,,15623,00:00:44,8
121182039,0,31,3,0,1727,17,7,2,5,6,5,10117,39486,,0,,9685,00:02:22,1
121182039,0,1,6,0,1565,17,5,1,4,3,2,23798,53893,4815,0,,8963,00:01:10,0
121182039,0,15,7,1,2648,19,20,7,13,1,10,36594,47017,,17832,,10334,00:00:29,4
121182039,0,12,16,1,1947,19,20,8,12,3,10,26045,44613,,3384,,8284,00:02:00,3
121182039,0,11,20,0,2320,17,7,3,4,6,5,19472,31722,,13230,,6976,00:02:45,1
121182039,0,31,20,1,1456,19,20,6,14,2,10,22538,70105,,0,,12029,00:00:52,4
121182039,0,40,12,0,2010,17,7,2,5,5,5,18149,42826,,1244,,6701,00:02:33,1
121182039,0,40,20,1,1887,19,21,6,15,3,10,17900,57774,,1724,,9694,00:01:10,2
121182039,0,34,3,0,1597,17,3,1,2,8,3,9189,31612,,0,,4761,00:04:11,2
121182039,0,30,7,1,1893,19,18,1,17,0,18,9498,37557,17897,5565,,9983,00:00:00,2
